Name,Age,Marks,Subject,Admission
Usman Farooq,16,684,Computer,No
Hina Butt,18,833,Medical,Yes
Bilal Ali,16,770,Computer,No
Ahmed Shah,22,501,Medical,No
Ali Khan,18,530,Math,No
Iqra Khan,21,709,Medical,Yes
Hina Ali,18,982,Computer,Yes
Zain Farooq,22,853,Arts,No
Noor Raza,20,559,Medical,Yes
Ali Malik,19,615,Medical,Yes
Bilal Raza,17,948,Arts,No
Hina Ali,20,583,Computer,Yes
Hina Shah,21,606,Medical,Yes
Noor Malik,20,656,Medical,Yes
Usman Butt,21,761,Computer,Yes
Hina Butt,22,648,Medical,Yes
Usman Khan,17,839,Arts,No
Usman Ahmed,17,540,Arts,No
Hina Farooq,17,949,Computer,No
Bilal Shah,20,814,Arts,No
Zain Ahmed,16,545,Computer,No
Zain Shah,20,835,Math,Yes
Ayesha Farooq,18,771,Medical,Yes
Sara Shah,20,553,Arts,No
Ayesha Shah,22,581,Computer,Yes
Usman Raza,21,765,Computer,Yes
Iqra Ali,19,781,Medical,Yes
Ali Butt,19,789,Arts,No
Zain Butt,21,886,Medical,Yes
Zain Khan,18,621,Computer,Yes
Bilal Ahmed,22,538,Computer,No
Sara Khan,22,756,Computer,Yes
Ali Malik,22,976,Math,Yes
Noor Khan,20,820,Computer,Yes
Zain Butt,19,636,Computer,Yes
Iqra Raza,18,625,Medical,Yes
Iqra Ali,20,890,Arts,No
Ayesha Khan,21,720,Medical,Yes
Noor Raza,17,868,Math,No
Sara Raza,22,592,Computer,Yes
Ali Butt,21,724,Math,Yes
Sara Khan,16,709,Computer,No
Hina Raza,19,969,Computer,Yes
Usman Ahmed,18,725,Math,Yes
Usman Raza,21,635,Medical,Yes
Bilal Khan,18,632,Arts,No
Hina Khan,16,569,Medical,No
Bilal Khan,17,816,Math,No
Noor Khan,19,547,Medical,No
Sara Butt,18,729,Arts,No
Iqra Butt,18,818,Computer,Yes
Noor Ali,18,530,Computer,No
Ali Butt,20,805,Medical,Yes
Iqra Raza,19,872,Arts,No
Noor Butt,20,853,Computer,Yes
Zain Ali,16,882,Computer,No
Sara Farooq,18,889,Math,Yes
Ayesha Raza,18,972,Computer,Yes
Ali Butt,16,561,Computer,No
Ali Khan,18,500,Medical,No
Sara Ali,16,539,Math,No
Ayesha Ali,18,900,Arts,Yes
Ahmed Farooq,16,836,Math,No
Ali Ahmed,21,556,Medical,Yes
Iqra Malik,20,832,Math,Yes
Noor Raza,16,567,Arts,No
Ali Shah,20,584,Math,Yes
Ahmed Ali,17,632,Arts,No
Usman Farooq,20,506,Arts,No
Noor Ahmed,20,665,Arts,No
Ali Khan,21,744,Arts,No
Ali Khan,17,634,Computer,No
Ali Ali,16,891,Medical,No
Bilal Ahmed,17,506,Medical,No
Usman Raza,16,803,Computer,No
Noor Khan,18,857,Computer,Yes
Hina Shah,22,552,Computer,Yes
Iqra Farooq,22,917,Computer,Yes
Noor Raza,18,674,Computer,Yes
Ahmed Ali,16,831,Math,No
Hina Raza,18,780,Math,Yes
Bilal Farooq,20,548,Computer,No
Bilal Farooq,20,942,Medical,Yes
Usman Shah,17,622,Medical,No
Usman Ahmed,18,643,Math,Yes
Ali Shah,16,609,Medical,No
Iqra Khan,16,735,Math,No
Ahmed Ahmed,18,963,Computer,Yes
Iqra Butt,19,579,Arts,No
Ayesha Butt,22,745,Math,Yes
Bilal Butt,20,821,Computer,Yes
Iqra Malik,17,891,Arts,No
Noor Ahmed,19,657,Math,Yes
Ali Shah,21,910,Math,Yes
Usman Ahmed,22,783,Medical,Yes
Bilal Raza,21,931,Math,Yes
Iqra Khan,16,802,Medical,No
Usman Raza,20,680,Computer,Yes
Iqra Raza,22,631,Arts,No
Usman Farooq,20,655,Math,Yes
Hina Ali,19,644,Medical,Yes
Zain Farooq,19,746,Arts,No
Bilal Malik,16,687,Computer,No
Ayesha Ahmed,19,860,Math,Yes
Iqra Khan,21,960,Math,Yes
Bilal Farooq,22,580,Computer,Yes
Ayesha Ahmed,20,937,Computer,Yes
Iqra Khan,20,827,Arts,No
Bilal Farooq,18,996,Computer,Yes
Zain Ali,21,740,Medical,Yes
Zain Shah,17,577,Computer,No
Sara Malik,22,831,Arts,No
Bilal Ahmed,18,750,Arts,No
Zain Shah,18,518,Math,No
Noor Malik,16,765,Medical,No
Ayesha Malik,22,800,Arts,No
Ayesha Ali,18,626,Math,Yes
Ahmed Ahmed,17,765,Math,No
Hina Shah,16,630,Medical,No
Bilal Raza,22,853,Computer,Yes
Ayesha Khan,16,568,Math,No
Noor Shah,21,758,Arts,No
Sara Shah,20,978,Math,Yes
Noor Ali,22,972,Computer,Yes
Ahmed Shah,22,953,Medical,Yes
Iqra Khan,19,822,Math,Yes
Hina Ahmed,16,805,Arts,No
Zain Khan,22,956,Medical,Yes
Sara Khan,20,694,Medical,Yes
Ayesha Farooq,20,652,Math,Yes
Iqra Malik,20,753,Math,Yes
Usman Ahmed,16,754,Arts,No
Bilal Ali,16,716,Arts,No
Noor Raza,18,805,Arts,No
Usman Khan,21,674,Arts,No
Hina Malik,19,922,Math,Yes
Ahmed Butt,16,680,Medical,No
Sara Khan,20,622,Math,Yes
Ali Khan,19,702,Arts,No
Zain Shah,18,699,Medical,Yes
Noor Farooq,21,907,Medical,Yes
Sara Butt,20,519,Math,No
Sara Ali,17,626,Arts,No
Usman Shah,21,630,Computer,Yes
Iqra Malik,17,701,Computer,No
Sara Butt,20,793,Computer,Yes
Ahmed Farooq,17,799,Medical,No
Ahmed Shah,17,713,Arts,No
Ayesha Malik,22,681,Computer,Yes
Ahmed Khan,18,675,Arts,No
Usman Shah,21,636,Computer,Yes
Ali Khan,22,659,Medical,Yes
Ali Ahmed,19,881,Math,Yes
Zain Farooq,16,783,Math,No
Ali Ali,21,822,Medical,Yes
Ahmed Shah,17,585,Medical,No
Ali Malik,22,716,Medical,Yes
Usman Farooq,20,567,Math,Yes
Sara Farooq,21,554,Computer,Yes
Hina Shah,22,522,Math,No
Usman Butt,16,913,Computer,No
Sara Shah,22,797,Computer,Yes
Noor Butt,18,663,Computer,Yes
Ahmed Farooq,18,909,Arts,Yes
Ayesha Raza,21,914,Computer,Yes
Ali Farooq,19,764,Math,Yes
Ayesha Khan,17,522,Computer,No
Ahmed Malik,22,826,Math,Yes
Sara Shah,16,825,Math,No
Ahmed Farooq,16,945,Arts,No
Sara Butt,20,843,Arts,No
Ali Ali,16,788,Computer,No
Noor Shah,18,671,Medical,Yes
Hina Malik,17,673,Math,No
Noor Ali,22,979,Math,Yes
Hina Raza,17,816,Medical,No
Hina Malik,18,670,Math,Yes
Ali Raza,22,760,Math,Yes
Noor Raza,22,750,Arts,No
Noor Raza,18,580,Medical,Yes
Usman Butt,16,630,Arts,No
Bilal Malik,21,569,Math,Yes
Ahmed Khan,20,675,Medical,Yes
Usman Ahmed,17,555,Math,No
Hina Raza,18,906,Medical,Yes
Usman Farooq,18,593,Arts,No
Sara Shah,20,883,Math,Yes
Noor Farooq,20,652,Computer,Yes
Sara Raza,20,968,Computer,Yes
Zain Khan,19,712,Computer,Yes
Ayesha Farooq,17,804,Medical,No
Usman Ali,21,838,Computer,Yes
Usman Malik,17,821,Medical,No
Hina Butt,16,834,Medical,No
Usman Malik,17,561,Computer,No
Ayesha Ali,16,623,Math,No
Bilal Ahmed,18,588,Arts,No
Bilal Raza,20,569,Computer,Yes
Ali Ahmed,18,605,Computer,Yes
Ahmed Khan,22,788,Computer,Yes
Noor Shah,19,568,Medical,Yes
Zain Raza,17,648,Math,No
Noor Khan,20,691,Computer,Yes
Zain Ahmed,16,659,Arts,No
Ahmed Shah,22,932,Medical,Yes
Bilal Khan,19,864,Medical,Yes
Bilal Malik,21,738,Medical,Yes
Usman Raza,19,532,Arts,No
Ahmed Raza,19,593,Arts,No
Zain Malik,22,702,Medical,Yes
Ahmed Malik,22,933,Medical,Yes
Iqra Ali,20,936,Arts,Yes
Sara Farooq,17,619,Computer,No
Usman Raza,21,783,Computer,Yes
Ayesha Raza,21,651,Computer,Yes
Iqra Malik,17,894,Medical,No
Iqra Ahmed,22,876,Arts,No
Ayesha Khan,22,875,Math,Yes
Sara Butt,18,837,Math,Yes
Ali Shah,20,860,Arts,No
Hina Ahmed,17,585,Math,No
Noor Ali,22,666,Arts,No
Ali Butt,21,764,Arts,No
Noor Raza,22,510,Computer,No
Usman Malik,17,887,Math,No
Ahmed Shah,16,813,Medical,No
Ali Raza,19,530,Math,No
Hina Khan,16,555,Computer,No
Hina Farooq,22,822,Computer,Yes
Zain Ali,19,628,Medical,Yes
Sara Shah,18,805,Medical,Yes
Ayesha Shah,18,665,Medical,Yes
Bilal Khan,18,858,Medical,Yes
Usman Ali,19,600,Computer,Yes
Noor Farooq,21,713,Arts,No
Zain Khan,17,661,Medical,No
Zain Raza,20,587,Math,Yes
Ali Malik,17,761,Computer,No
Sara Malik,20,775,Math,Yes
Iqra Raza,17,604,Computer,No
Ahmed Ali,21,758,Math,Yes
Usman Ahmed,19,782,Medical,Yes
Zain Khan,21,761,Medical,Yes
Ali Ali,22,938,Computer,Yes
Ayesha Ahmed,18,639,Arts,No
Ali Farooq,19,561,Math,Yes
Zain Malik,22,547,Math,No
Noor Ali,21,538,Math,No
Hina Ali,21,597,Math,Yes
Ahmed Khan,16,674,Medical,No
Usman Ali,22,520,Computer,No
Noor Farooq,16,887,Computer,No
Iqra Ahmed,18,684,Math,Yes
Sara Ali,20,568,Computer,Yes
Sara Butt,16,561,Computer,No
Ahmed Malik,20,762,Computer,Yes
Ayesha Raza,21,651,Medical,Yes
Iqra Farooq,20,707,Math,Yes
Bilal Raza,20,676,Medical,Yes
Ali Butt,21,593,Computer,Yes
Bilal Khan,16,664,Computer,No
Bilal Khan,20,635,Medical,Yes
Hina Shah,18,547,Computer,No
Bilal Malik,16,986,Computer,No
Hina Butt,22,609,Medical,Yes
Iqra Shah,19,890,Medical,Yes
Bilal Khan,19,752,Medical,Yes
Hina Raza,17,895,Math,No
Hina Malik,16,626,Math,No
Bilal Khan,22,569,Math,Yes
Hina Ali,16,612,Math,No
Zain Raza,19,716,Arts,No
Sara Shah,22,913,Math,Yes
Bilal Malik,22,830,Computer,Yes
Zain Khan,20,561,Math,Yes
Ayesha Raza,19,785,Math,Yes
Bilal Butt,16,807,Computer,No
Noor Khan,22,742,Medical,Yes
Ali Khan,18,670,Computer,Yes
Iqra Ahmed,22,869,Medical,Yes
Iqra Ahmed,17,936,Computer,No
Zain Khan,22,682,Medical,Yes
Iqra Ali,19,589,Computer,Yes
Usman Ali,18,620,Math,Yes
Zain Khan,19,958,Medical,Yes
Bilal Malik,17,522,Computer,No
Ali Ahmed,18,772,Arts,No
Sara Ahmed,21,708,Math,Yes
Hina Raza,20,576,Arts,No
Sara Khan,20,755,Arts,No
Iqra Ahmed,18,806,Math,Yes
Sara Farooq,17,526,Computer,No
Iqra Raza,17,945,Medical,No
Noor Ali,21,744,Math,Yes
Zain Raza,20,665,Computer,Yes
Usman Butt,17,714,Arts,No
Iqra Ahmed,18,892,Medical,Yes
Usman Malik,21,693,Arts,No
Sara Ahmed,17,659,Computer,No
